,2 years,5 years,10 years,20 years
2017-07-20,-0.699,-0.449,0.01,0.298
2017-07-21,-0.706,-0.448,0.005,0.286
2017-07-24,-0.718,-0.454,0.008,0.293
2017-07-25,-0.718,-0.452,0.02,0.314
2017-07-26,-0.723,-0.443,0.04,0.336
2017-07-27,-0.72,-0.455,0.02,0.314
2017-07-28,-0.687,-0.415,0.054,0.347
2017-07-31,-0.698,-0.419,0.06,0.357
2017-08-01,-0.698,-0.419,0.06,0.357
2017-08-02,-0.704,-0.447,0.015,0.304
2017-08-03,-0.695,-0.464,0.003,0.304
2017-08-04,-0.709,-0.499,-0.049,0.241
2017-08-07,-0.726,-0.512,-0.058,0.234
2017-08-08,-0.727,-0.519,-0.076,0.206
2017-08-09,-0.737,-0.528,-0.086,0.195
2017-08-10,-0.742,-0.558,-0.118,0.167
2017-08-11,-0.76,-0.598,-0.161,0.125
2017-08-14,-0.755,-0.575,-0.136,0.148
2017-08-15,-0.754,-0.581,-0.127,0.173
2017-08-16,-0.749,-0.541,-0.077,0.222
2017-08-17,-0.733,-0.538,-0.075,0.229
2017-08-18,-0.733,-0.547,-0.084,0.223
2017-08-21,-0.748,-0.564,-0.1,0.205
2017-08-22,-0.741,-0.562,-0.1,0.207
2017-08-23,-0.742,-0.57,-0.108,0.203
2017-08-24,-0.734,-0.575,-0.118,0.196
2017-08-25,-0.73,-0.561,-0.099,0.214
2017-08-28,-0.736,-0.573,-0.11,0.207
2017-08-29,-0.745,-0.593,-0.138,0.174
2017-08-30,-0.749,-0.588,-0.121,0.196
2017-08-31,-0.745,-0.581,-0.114,0.203
2017-09-01,-0.756,-0.59,-0.118,0.203
2017-09-04,-0.76,-0.581,-0.109,0.208
2017-09-05,-0.746,-0.579,-0.098,0.235
2017-09-06,-0.762,-0.598,-0.117,0.212
2017-09-07,-0.763,-0.588,-0.097,0.236
2017-09-08,-0.767,-0.611,-0.131,0.198
2017-09-11,-0.736,-0.59,-0.121,0.214
2017-09-12,-0.758,-0.585,-0.1,0.231
2017-09-13,-0.764,-0.57,-0.075,0.256
2017-09-14,-0.742,-0.545,-0.061,0.264
2017-09-15,-0.738,-0.534,-0.05,0.275
2017-09-18,-0.74,-0.513,-0.018,0.308
2017-09-19,-0.734,-0.5,-0.008,0.315
2017-09-20,-0.734,-0.502,-0.009,0.315
2017-09-21,-0.711,-0.476,0.009,0.328
2017-09-22,-0.72,-0.486,0.001,0.319
2017-09-25,-0.737,-0.493,-0.002,0.314
2017-09-26,-0.742,-0.51,-0.02,0.299
2017-09-27,-0.744,-0.497,0.005,0.326
2017-09-28,-0.735,-0.473,0.033,0.356
2017-09-29,-0.737,-0.488,0.017,0.34
2017-10-02,-0.742,-0.472,0.03,0.347
2017-10-03,-0.736,-0.471,0.033,0.355
2017-10-04,-0.741,-0.479,0.017,0.333
2017-10-05,-0.729,-0.475,0.02,0.339
2017-10-06,-0.728,-0.471,0.023,0.342
2017-10-09,-0.742,-0.488,0.008,0.326
2017-10-10,-0.745,-0.499,-0.008,0.311
2017-10-11,-0.741,-0.485,0.011,0.331
2017-10-12,-0.732,-0.481,0.011,0.33
2017-10-13,-0.724,-0.489,-0.006,0.312
2017-10-16,-0.75,-0.513,-0.019,0.305
2017-10-17,-0.748,-0.516,-0.039,0.284
2017-10-18,-0.756,-0.524,-0.052,0.266
2017-10-19,-0.746,-0.509,-0.043,0.269
2017-10-20,-0.737,-0.482,-0.006,0.311
2017-10-23,-0.743,-0.49,-0.015,0.301
2017-10-24,-0.747,-0.47,0.016,0.336
2017-10-25,-0.743,-0.464,0.023,0.342
2017-10-26,-0.736,-0.451,0.035,0.352
2017-10-27,-0.767,-0.485,0.005,0.325
2017-10-30,-0.788,-0.507,-0.019,0.31
2017-10-31,-0.779,-0.524,-0.029,0.298
2017-11-01,-0.779,-0.522,-0.037,0.284
2017-11-02,-0.771,-0.519,-0.028,0.303
2017-11-03,-0.777,-0.535,-0.045,0.288
2017-11-06,-0.79,-0.545,-0.062,0.273
2017-11-07,-0.77,-0.531,-0.057,0.277
2017-11-08,-0.782,-0.558,-0.083,0.258
2017-11-09,-0.773,-0.552,-0.082,0.27
2017-11-10,-0.771,-0.517,-0.032,0.315
2017-11-13,-0.78,-0.523,-0.035,0.312
2017-11-14,-0.779,-0.516,-0.026,0.32
2017-11-15,-0.786,-0.539,-0.056,0.292
2017-11-16,-0.784,-0.533,-0.052,0.296
2017-11-17,-0.784,-0.532,-0.056,0.291
2017-11-20,-0.79,-0.55,-0.077,0.281
2017-11-21,-0.797,-0.566,-0.096,0.265
2017-11-22,-0.787,-0.557,-0.093,0.267
2017-11-23,-0.803,-0.546,-0.087,0.257
2017-11-24,-0.849,-0.539,-0.07,0.267
2017-11-27,-0.776,-0.539,-0.085,0.265
2017-11-28,-0.789,-0.535,-0.082,0.264
2017-11-29,-0.76,-0.513,-0.066,0.279
2017-11-30,-0.753,-0.507,-0.053,0.298
2017-12-01,-0.752,-0.517,-0.079,0.264
2017-12-04,-0.775,-0.532,-0.084,0.257
2017-12-05,-0.772,-0.539,-0.099,0.239
2017-12-06,-0.787,-0.552,-0.122,0.218
2017-12-07,-0.767,-0.547,-0.123,0.208
2017-12-08,-0.78,-0.556,-0.12,0.217
2017-12-11,-0.78,-0.558,-0.124,0.213
2017-12-12,-0.775,-0.552,-0.129,0.203
2017-12-13,-0.774,-0.545,-0.111,0.226
2017-12-14,-0.769,-0.536,-0.11,0.217
2017-12-15,-0.772,-0.563,-0.147,0.191
2017-12-18,-0.788,-0.565,-0.138,0.2
2017-12-19,-0.794,-0.57,-0.142,0.197
2017-12-20,-0.782,-0.537,-0.106,0.227
2017-12-21,-0.767,-0.518,-0.082,0.252
2017-12-22,-0.752,-0.516,-0.086,0.25
2017-12-25,-0.752,-0.516,-0.086,0.25
2017-12-26,-0.752,-0.516,-0.086,0.25
2017-12-27,-0.766,-0.531,-0.092,0.247
2017-12-28,-0.769,-0.524,-0.09,0.246
2017-12-29,-0.761,-0.519,-0.095,0.241
2018-01-01,-0.761,-0.519,-0.095,0.241
2018-01-02,-0.761,-0.519,-0.095,0.241
2018-01-03,-0.765,-0.524,-0.095,0.244
2018-01-04,-0.81,-0.543,-0.098,0.235
2018-01-05,-0.815,-0.546,-0.106,0.225
2018-01-08,-0.83,-0.553,-0.109,0.223
2018-01-09,-0.85,-0.559,-0.097,0.234
2018-01-10,-0.839,-0.536,-0.072,0.258
2018-01-11,-0.832,-0.526,-0.051,0.289
2018-01-12,-0.819,-0.472,0.019,0.354
2018-01-15,-0.811,-0.472,0.016,0.353
2018-01-16,-0.813,-0.474,0.014,0.353
2018-01-17,-0.836,-0.489,-0.01,0.317
2018-01-18,-0.82,-0.478,0.014,0.352
2018-01-19,-0.822,-0.478,0.022,0.369
2018-01-22,-0.838,-0.488,0.02,0.368
2018-01-23,-0.845,-0.49,0.023,0.372
2018-01-24,-0.833,-0.469,0.059,0.423
2018-01-25,-0.815,-0.471,0.056,0.433
2018-01-26,-0.819,-0.452,0.063,0.409
2018-01-29,-0.822,-0.433,0.093,0.439
2018-01-30,-0.825,-0.415,0.116,0.456
2018-01-31,-0.833,-0.426,0.103,0.436
2018-02-01,-0.812,-0.387,0.138,0.467
2018-02-02,-0.812,-0.372,0.175,0.514
2018-02-05,-0.84,-0.377,0.188,0.531
2018-02-06,-0.863,-0.426,0.146,0.498
2018-02-07,-0.837,-0.417,0.154,0.521
2018-02-08,-0.824,-0.392,0.186,0.554
2018-02-09,-0.838,-0.369,0.214,0.577
2018-02-12,-0.751,-0.378,0.213,0.58
2018-02-13,-0.762,-0.4,0.194,0.555
2018-02-14,-0.756,-0.398,0.199,0.567
2018-02-15,-0.738,-0.374,0.221,0.587
2018-02-16,-0.735,-0.391,0.205,0.579
2018-02-19,-0.746,-0.408,0.191,0.567
2018-02-20,-0.74,-0.404,0.207,0.596
2018-02-21,-0.733,-0.44,0.157,0.549
2018-02-22,-0.737,-0.429,0.173,0.564
2018-02-23,-0.743,-0.451,0.144,0.533
2018-02-26,-0.756,-0.458,0.125,0.519
2018-02-27,-0.76,-0.456,0.133,0.53
2018-02-28,-0.77,-0.474,0.116,0.512
2018-03-01,-0.774,-0.503,0.089,0.487
2018-03-02,-0.775,-0.516,0.074,0.475
2018-03-05,-0.787,-0.516,0.082,0.475
2018-03-06,-0.774,-0.492,0.102,0.493
2018-03-07,-0.775,-0.473,0.127,0.514
2018-03-08,-0.776,-0.468,0.13,0.515
2018-03-09,-0.779,-0.474,0.118,0.499
2018-03-12,-0.78,-0.471,0.119,0.496
2018-03-13,-0.768,-0.468,0.119,0.498
2018-03-14,-0.773,-0.467,0.133,0.518
2018-03-15,-0.77,-0.462,0.132,0.511
2018-03-16,-0.78,-0.487,0.111,0.493
2018-03-19,-0.794,-0.494,0.11,0.492
2018-03-20,-0.787,-0.502,0.098,0.482
2018-03-21,-0.791,-0.488,0.113,0.493
2018-03-22,-0.79,-0.504,0.096,0.478
2018-03-23,-0.812,-0.528,0.074,0.455
2018-03-26,-0.798,-0.509,0.093,0.474
2018-03-27,-0.797,-0.508,0.093,0.475
2018-03-28,-0.804,-0.537,0.048,0.429
2018-03-29,-0.791,-0.529,,0.437
2018-03-30,-0.791,-0.529,0.054,0.437
